Timestamp,From_Bank,Send_Account,To_Bank,Receive_Account,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,Payment_Format,Is_Laundering
9/1/2022 0:20,10,8000EBD30,10,8000EBD30,3697.34,US Dollar,3697.34,US Dollar,Reinvestment,0
9/1/2022 0:20,3208,8000F4580,1,8000F5340,0.01,US Dollar,0.01,US Dollar,Cheque,0
9/1/2022 0:00,3209,8000F4670,3209,8000F4670,14675.57,US Dollar,14675.57,US Dollar,Reinvestment,0
9/1/2022 0:02,12,8000F5030,12,8000F5030,2806.97,US Dollar,2806.97,US Dollar,Reinvestment,0
9/1/2022 0:06,10,8000F5200,10,8000F5200,36682.97,US Dollar,36682.97,US Dollar,Reinvestment,0
9/1/2022 0:03,1,8000F5AD0,1,8000F5AD0,6162.44,US Dollar,6162.44,US Dollar,Reinvestment,0
9/1/2022 0:08,1,8000EBAC0,1,8000EBAC0,14.26,US Dollar,14.26,US Dollar,Reinvestment,0
9/1/2022 0:16,1,8000EC1E0,1,8000EC1E0,11.86,US Dollar,11.86,US Dollar,Reinvestment,0
9/1/2022 0:26,12,8000EC280,2439,8017BF800,7.66,US Dollar,7.66,US Dollar,Credit Card,0
9/1/2022 0:21,1,8000EDEC0,211050,80AEF5310,383.71,US Dollar,383.71,US Dollar,Credit Card,0
9/1/2022 0:04,1,8000F4510,11813,8011305D0,9.82,US Dollar,9.82,US Dollar,Credit Card,0
9/1/2022 0:04,1,8000F47F0,1,8000F47F0,9.38,US Dollar,9.38,US Dollar,Reinvestment,0
9/1/2022 0:08,1,8000F4FE0,245335,812ED62E0,4.01,US Dollar,4.01,US Dollar,Credit Card,0
9/1/2022 0:17,10,80012FD90,36056,812ED6380,106.7,US Dollar,106.7,US Dollar,Credit Card,0
9/1/2022 0:11,12,80012FE00,13037,805B34210,0.54,US Dollar,0.54,US Dollar,Credit Card,0
9/1/2022 0:09,1,80012FE50,1,80012FE50,3944232.29,US Dollar,3944232.29,US Dollar,Reinvestment,0
9/1/2022 0:11,10,80012FEA0,10,80012FEA0,10020.68,US Dollar,10020.68,US Dollar,Reinvestment,0
9/1/2022 0:00,1420,8005DFEB0,1420,8005DFEB0,897.37,US Dollar,897.37,US Dollar,Reinvestment,0
9/1/2022 0:28,1665,8005E18F0,1665,8005E18F0,157.57,US Dollar,157.57,US Dollar,Reinvestment,0
9/1/2022 0:22,1665,8005E24C0,1665,8005E24C0,52.75,US Dollar,52.75,US Dollar,Reinvestment,0
9/1/2022 0:28,1420,8005F2D30,1420,8005F2D30,8163.85,US Dollar,8163.85,US Dollar,Reinvestment,0
9/1/2022 0:12,10,800131480,10,800131480,5.74,US Dollar,5.74,US Dollar,Reinvestment,0
9/1/2022 0:20,12,800131B10,11642,8131A9A80,46.86,US Dollar,46.86,US Dollar,Credit Card,0
9/1/2022 0:02,1665,8005E18F0,1665,8005E18F0,9.89,US Dollar,9.89,US Dollar,Reinvestment,0
9/1/2022 0:21,10,8005F0B50,13327,810B0FB40,86.3,US Dollar,86.3,US Dollar,Credit Card,0
9/1/2022 0:16,908,8005FB700,143995,813600910,3.16,US Dollar,3.16,US Dollar,Credit Card,0
9/1/2022 0:25,1420,8005FD390,1420,8005FD390,780457.62,US Dollar,780457.62,US Dollar,Reinvestment,0
9/1/2022 0:09,1688,8005FD430,1688,8005FD430,748.62,US Dollar,748.62,US Dollar,Reinvestment,0
9/1/2022 0:11,1,800A5F020,1420,8006A3840,1210984,US Dollar,1210984,US Dollar,ACH,0
9/1/2022 0:29,1420,8005FD390,1292,8006A3890,38386097,US Dollar,38386097,US Dollar,Cheque,0
9/1/2022 0:12,10,8006AF500,10,8006AF500,956.43,US Dollar,956.43,US Dollar,Reinvestment,0
9/1/2022 0:25,31125,8006AF550,31125,8006AF550,43.44,US Dollar,43.44,US Dollar,Reinvestment,0
9/1/2022 0:26,10,800058100,1688,8005FD430,159271,US Dollar,159271,US Dollar,ACH,0
9/1/2022 0:14,1420,8006A3840,217680,80C132DC0,3.62,US Dollar,3.62,US Dollar,Credit Card,0
9/1/2022 0:09,1292,8006A3890,121303,80A3C7390,192.83,US Dollar,192.83,US Dollar,Credit Card,0
9/1/2022 0:22,1674,800AC8E30,1674,800AC8E30,4295104.54,US Dollar,4295104.54,US Dollar,Reinvestment,0
9/1/2022 0:09,21611,800AC9010,21611,800AC9010,3203.2,US Dollar,3203.2,US Dollar,Reinvestment,0
9/1/2022 0:05,11157,800ACA9C0,11157,800ACA9C0,192154.42,US Dollar,192154.42,US Dollar,Reinvestment,0
9/1/2022 0:04,21611,800AC9010,1467,801008340,152631,US Dollar,152631,US Dollar,Cheque,0
9/1/2022 0:15,1674,800AC8E30,1420,801008520,5069.19,US Dollar,5069.19,US Dollar,Cheque,0
9/1/2022 0:29,10,80005D5C0,1674,800AC8E30,29382,US Dollar,29382,US Dollar,Cheque,0
9/1/2022 0:28,11296,800AC8E80,11296,800AC8E80,7.64,US Dollar,7.64,US Dollar,Reinvestment,0
9/1/2022 0:07,11474,800AC9400,1124,814233CC0,16.03,US Dollar,16.03,US Dollar,Credit Card,0
9/1/2022 0:02,1601,800AC9DD0,215064,8121CF4B0,25.34,US Dollar,25.34,US Dollar,Credit Card,0
9/1/2022 0:02,1411,800AC9E20,1124,814233CC0,146.97,US Dollar,146.97,US Dollar,Credit Card,0
9/1/2022 0:08,1467,801008340,111764,8082250C0,16.9,US Dollar,16.9,US Dollar,Credit Card,0
9/1/2022 0:10,1241,801008480,15723,8065002B0,87.71,US Dollar,87.71,US Dollar,Credit Card,0
9/1/2022 0:16,1420,801008520,12,80974B620,17.57,US Dollar,17.57,US Dollar,Credit Card,0
9/1/2022 0:04,1420,8010098B0,1420,8010098B0,19605.49,US Dollar,19605.49,US Dollar,Reinvestment,0
9/1/2022 0:14,1674,801009860,1411,80100A2C0,424245,US Dollar,424245,US Dollar,Cheque,0
9/1/2022 0:29,1674,801009860,1457,80100D180,2995,US Dollar,2995,US Dollar,ACH,0
9/1/2022 0:11,1674,801009860,1,80100DB80,527190,US Dollar,527190,US Dollar,ACH,0
9/1/2022 0:06,1068,8012261B0,1068,8012261B0,15018.93,US Dollar,15018.93,US Dollar,Reinvestment,0
9/1/2022 0:17,1674,801009860,1674,801009860,17.29,US Dollar,17.29,US Dollar,Reinvestment,0
9/1/2022 0:22,1411,80100A2C0,12893,80805AE20,6.88,US Dollar,6.88,US Dollar,Credit Card,0
9/1/2022 0:22,1457,80100D180,15916,803177AF0,406.38,US Dollar,406.38,US Dollar,Credit Card,0
9/1/2022 0:01,11318,80100DB30,16109,80805A830,9.57,US Dollar,9.57,US Dollar,Credit Card,0
9/1/2022 0:08,1,80100DB80,11904,80A059840,42.18,US Dollar,42.18,US Dollar,Credit Card,0
9/1/2022 0:13,1,8012275D0,1,8012275D0,78061.55,US Dollar,78061.55,US Dollar,Reinvestment,0
9/1/2022 0:11,1,8012275D0,1467,801227620,8468,US Dollar,8468,US Dollar,ACH,0
9/1/2022 0:12,1,8012275D0,12,80141ED50,13818883,US Dollar,13818883,US Dollar,Cheque,0
9/1/2022 0:11,1,8012275D0,1686,8004169F0,9814809.87,US Dollar,9814809.87,US Dollar,ACH,0
9/1/2022 0:01,1,8012275D0,1047,800416A40,2782,US Dollar,2782,US Dollar,ACH,0
9/1/2022 0:16,1,8012275D0,1,8012275D0,4.62,US Dollar,4.62,US Dollar,Reinvestment,0
9/1/2022 0:21,1467,801227620,6156,802F2FD40,44.54,US Dollar,44.54,US Dollar,Credit Card,0
9/1/2022 0:28,12,80141ED50,23885,805DEB4F0,77.15,US Dollar,77.15,US Dollar,Credit Card,0
9/1/2022 0:19,1686,8004169F0,1047,80A0DDC70,6.28,US Dollar,6.28,US Dollar,Credit Card,0
9/1/2022 0:05,1047,800416A40,15723,8051B9F40,130.1,US Dollar,130.1,US Dollar,Credit Card,0
9/1/2022 0:27,3051,80152BF60,3051,80152BF60,11.77,US Dollar,11.77,US Dollar,Reinvestment,0
9/1/2022 0:25,1665,80152E780,15625,81173FE50,5.87,US Dollar,5.87,US Dollar,Credit Card,0
9/1/2022 0:14,11296,8016B82E0,11296,8016B82E0,756221.89,US Dollar,756221.89,US Dollar,Reinvestment,0
9/1/2022 0:11,23842,8016BA970,23842,8016BA970,24068.17,US Dollar,24068.17,US Dollar,Reinvestment,0
9/1/2022 0:18,11904,8016BC320,10,8016BBF40,106953,US Dollar,106953,US Dollar,ACH,0
9/1/2022 0:06,13327,8016BA470,2991,8016BBF90,25397,US Dollar,25397,US Dollar,ACH,0
9/1/2022 0:26,11904,8016BC320,11904,8016BC320,1282.15,US Dollar,1282.15,US Dollar,Reinvestment,0
9/1/2022 0:23,220,8016BC820,220,8016BC820,489.99,US Dollar,489.99,US Dollar,Reinvestment,0
9/1/2022 0:18,701,8016BBEA0,701,8016BBEA0,11.68,US Dollar,11.68,US Dollar,Reinvestment,0
9/1/2022 0:17,10,8016BBF40,24161,80DF7DCE0,149.35,US Dollar,149.35,US Dollar,Credit Card,0
